business_id,business_type,transaction_count,transaction_value_inr,operating_hours_per_day,digital_payment_usage_percent,transaction_value_range,transaction_volume_group
DP0102,HomeBusiness,1506.0,777200.12,9.6,75.3,Very High,High
DP0103,Wholesale,1672.0,385210.55,14.2,78.5,Very High,High
DP0104,Services,768.0,200182.96,5.4,73.8,Very High,High
DP0105,HomeBusiness,1231.0,711935.55,6.1,72.5,Very High,High
DP0106,Services,227.0,221403.7,9.2,61.6,Very High,Medium
DP0107,HomeBusiness,1648.0,359884.38,13.4,82.7,Very High,High
DP0108,HomeBusiness,347.0,270676.87,14.5,61.6,Very High,High
DP0109,Services,1623.0,187660.19,10.6,87.8,Very High,High
DP0110,Services,1477.0,275887.05,7.4,78.7,Very High,High
DP0111,Services,34.0,204985.17,6.5,61.8,Very High,Low
DP0112,Wholesale,585.0,823491.69,12.2,69.1,Very High,High
DP0113,Wholesale,444.0,372412.61,10.2,74.3,Very High,High
DP0114,Restaurant,863.0,674590.63,14.8,77.8,Very High,High
DP0115,Restaurant,343.0,144908.08,7.9,69.2,Very High,High
DP0116,Services,1667.0,845466.78,13.4,74.0,Very High,High
DP0117,HomeBusiness,693.0,248433.84,9.6,64.9,Very High,High
DP0118,Services,1067.0,783828.42,15.9,61.6,Very High,High
DP0119,Services,1777.0,501097.03,15.9,88.4,Very High,High
DP0120,Retail,778.0,91541.74,12.2,90.0,Very High,High
